user_id,frequency,monetary,avg_fare,recency,tenure,avg_surge,max_surge,tip_total,avg_duration,distinct_drivers,weekend_ratio,night_ratio,card_ratio,tip_rate,trips_per_week,sessions_count,avg_time_on_app,avg_pages,conversion_rate,age,avg_rating_given,loyalty_status,city,was_referred,churn_prob,loyalty_rank,churn,churn_propensity_true
R00000,24,349.74,14.5725,38,331,1.1,1.6,4.03,31.333333333333332,24,0.16666666666666666,0.375,0.4583333333333333,0.01,0.51,4.0,92.0,3.0,0.25,35.0,5.0,Bronze,Nairobi,1,0.1424305968233785,0,0,0.10972748434001915
R00001,12,153.82,12.818333333333333,6,322,1.08,1.8,0.64,28.083333333333332,12,0.25,0.25,0.6666666666666666,0.0,0.26,3.0,174.66666666666666,2.6666666666666665,0.0,35.0,4.7,Bronze,Nairobi,0,0.6741608467591605,0,1,0.26489009837122185
R00002,23,364.09,15.829999999999998,18,283,1.2,2.1,5.21,31.391304347826086,23,0.08695652173913043,0.13043478260869565,0.43478260869565216,0.01,0.57,3.0,191.0,3.0,0.0,47.0,4.2,Bronze,Lagos,0,0.5103793329192093,0,0,0.30761437146398785
R00003,9,121.47,13.496666666666666,31,317,1.16,1.6,0.87,32.55555555555556,9,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.01,0.2,3.0,75.33333333333333,1.6666666666666667,0.0,42.0,4.9,Bronze,Nairobi,0,0.2447792787846616,0,1,0.9709901251996508
R00004,14,236.95,16.925,33,309,1.25,2.1,9.38,36.92857142857143,14,0.5,0.21428571428571427,0.2857142857142857,0.04,0.32,2.0,17.0,2.5,0.0,41.0,3.9,Silver,Lagos,1,0.2699597126742522,1,0,0.1305150972237676
R00005,17,249.76,14.691764705882353,35,319,1.08,1.5,3.63,30.41176470588235,17,0.11764705882352941,0.058823529411764705,0.4117647058823529,0.01,0.37,6.0,30.333333333333332,1.6666666666666667,0.16666666666666666,40.0,5.0,Bronze,Lagos,0,0.3274520895837147,0,0,0.0630861619111128
R00006,14,199.01,14.215,37,334,1.13,1.6,15.63,31.5,14,0.35714285714285715,0.0,0.5714285714285714,0.08,0.29,5.0,52.0,3.0,0.6,44.0,4.4,Gold,Lagos,1,0.1204522174907009,2,1,0.42851711692738637
R00007,18,345.35,19.186111111111114,9,318,1.18,2.1,18.07,37.94444444444444,18,0.3333333333333333,0.2777777777777778,0.5555555555555556,0.05,0.4,5.0,246.8,2.8,0.0,27.0,4.9,Bronze,Nairobi,0,0.2842457607909989,0,1,0.040213740525411906
R00008,17,230.45,13.555882352941175,25,319,1.06,1.3,6.77,38.11764705882353,16,0.17647058823529413,0.29411764705882354,0.29411764705882354,0.03,0.37,10.0,102.1,1.8,0.0,30.0,5.0,Bronze,Nairobi,1,0.0398786957413594,0,0,0.12670154068936695
R00009,14,253.57,18.112142857142857,50,331,1.38,2.5,2.91,33.92857142857143,14,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.01,0.3,3.0,22.0,3.3333333333333335,0.0,24.0,4.6,Bronze,Lagos,0,0.2248721592852733,0,1,0.8202338719978955
R00010,25,373.66,14.9464,8,311,1.11,2.1,9.24,34.24,25,0.44,0.28,0.64,0.02,0.56,4.0,87.75,4.0,0.25,41.0,4.3,Bronze,Nairobi,0,0.189223538715668,0,0,0.07541669346308055
R00011,17,292.53,17.20764705882353,25,298,1.16,1.7,5.87,29.176470588235293,17,0.17647058823529413,0.47058823529411764,0.7058823529411765,0.02,0.4,7.0,56.0,3.4285714285714284,0.14285714285714285,37.0,4.0,Gold,Cairo,1,0.236666768267843,2,0,0.5365215165454803
R00012,21,307.69,14.651904761904762,18,324,1.12,1.6,16.92,35.95238095238095,21,0.3333333333333333,0.2857142857142857,0.5238095238095238,0.05,0.45,4.0,18.0,2.0,0.75,38.0,4.6,Gold,Cairo,0,0.0571171871767164,2,0,0.029839580017219227
R00013,14,226.87,16.205000000000002,17,272,1.04,1.3,8.48,34.214285714285715,14,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.04,0.36,6.0,160.0,3.0,0.0,40.0,4.2,Bronze,Cairo,0,0.1737535185298938,0,1,0.6098984125046616
R00014,25,365.26,14.6104,1,325,1.14,1.6,8.9,31.44,25,0.4,0.2,0.64,0.02,0.54,3.0,29.0,3.6666666666666665,0.0,45.0,5.0,Bronze,Nairobi,0,0.2876183860002614,0,0,0.02562108716453587
R00015,24,386.34,16.0975,5,324,1.18,1.7,25.82,28.375,24,0.2916666666666667,0.3333333333333333,0.5416666666666666,0.07,0.52,9.0,120.44444444444444,1.6666666666666667,0.2222222222222222,18.0,5.0,Gold,Nairobi,1,0.3570941783944128,2,0,0.0015391108897751453
R00016,19,296.57,15.608947368421052,4,299,1.04,1.4,28.32,35.10526315789474,19,0.3157894736842105,0.21052631578947367,0.47368421052631576,0.1,0.44,1.0,88.0,5.0,1.0,32.0,3.9,Gold,Nairobi,1,0.0490431232864207,2,0,0.018648468154044372
R00017,16,239.34,14.95875,12,273,1.14,1.9,12.12,34.875,16,0.1875,0.125,0.5625,0.05,0.41,6.0,26.666666666666668,2.8333333333333335,0.3333333333333333,25.0,4.2,Gold,Lagos,0,0.425521365571281,2,0,0.03364311090224099
R00018,22,286.64,13.02909090909091,10,324,1.04,1.4,13.5,32.77272727272727,22,0.13636363636363635,0.36363636363636365,0.6363636363636364,0.05,0.48,5.0,26.8,1.8,0.4,51.0,4.4,Gold,Nairobi,0,0.1704961706951263,2,0,0.05797527699036127
R00019,23,391.55,17.023913043478263,36,321,1.2,2.3,6.22,34.08695652173913,23,0.21739130434782608,0.0,0.4782608695652174,0.02,0.5,6.0,122.0,3.1666666666666665,0.0,34.0,4.5,Bronze,Lagos,0,0.3327413627536465,0,0,0.17375214459517385
R00020,17,285.31,16.782941176470587,2,329,1.14,1.6,11.58,29.176470588235293,17,0.17647058823529413,0.058823529411764705,0.4117647058823529,0.04,0.36,7.0,165.28571428571428,2.7142857142857144,0.0,18.0,4.9,Bronze,Cairo,1,0.2470390089311816,0,0,0.059816050904415954
R00021,14,191.67000000000002,13.690714285714288,45,322,1.03,1.4,4.0,39.785714285714285,14,0.21428571428571427,0.35714285714285715,0.7142857142857143,0.02,0.3,2.0,136.5,3.5,0.0,43.0,4.9,Bronze,Cairo,0,0.2194934383631593,0,1,0.32102234026601834
R00022,14,190.93,13.637857142857143,17,333,1.14,1.6,5.329999999999999,33.142857142857146,14,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.03,0.29,4.0,82.0,2.75,0.0,45.0,4.7,Bronze,Lagos,0,0.1454346823339429,0,0,0.8385824068251599
R00023,20,290.91,14.5455,0,291,1.09,1.5,9.03,32.4,20,0.2,0.3,0.55,0.03,0.48,3.0,81.0,3.0,0.0,51.0,4.6,Bronze,Lagos,1,0.2275797908870763,0,0,0.021976736300567675
R00024,20,322.29,16.1145,31,311,1.1,1.6,13.65,26.5,20,0.3,0.25,0.5,0.04,0.45,6.0,161.66666666666666,2.1666666666666665,0.5,41.0,4.4,Gold,Nairobi,1,0.3819486160999928,2,0,0.051826023901268614
R00025,12,187.67,15.639166666666666,25,329,1.12,1.6,2.4,32.666666666666664,12,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.01,0.26,7.0,147.14285714285714,3.0,0.0,46.0,3.8,Bronze,Cairo,1,0.4325432238769507,0,0,0.80453053451008
R00026,16,265.41,16.588125,2,325,1.11,1.4,3.42,28.0625,16,0.1875,0.0,0.5,0.01,0.34,5.0,12.2,1.2,0.2,19.0,4.7,Bronze,Lagos,0,0.2223838627316544,0,0,0.2786103789868787
R00027,22,394.76,17.94363636363636,0,332,1.23,3.0,12.6,28.40909090909091,22,0.22727272727272727,0.18181818181818182,0.5454545454545454,0.03,0.46,4.0,19.0,2.5,0.0,35.0,4.7,Silver,Cairo,1,0.3220642377833406,1,0,0.053021657910222876
R00028,18,283.57,15.753888888888888,27,331,1.19,2.3,5.130000000000001,33.166666666666664,18,0.3333333333333333,0.2777777777777778,0.5555555555555556,0.02,0.38,7.0,57.714285714285715,1.7142857142857142,0.14285714285714285,42.0,4.9,Silver,Cairo,0,0.3840175775107908,1,1,0.44403627924294503
R00029,12,201.57,16.7975,23,292,1.23,1.9,2.46,27.083333333333332,12,0.25,0.16666666666666666,0.5833333333333334,0.01,0.29,7.0,384.7142857142857,2.7142857142857144,0.14285714285714285,23.0,4.8,Bronze,Lagos,1,0.0435092202303506,0,1,0.7587001575528383
R00030,15,221.38,14.758666666666667,11,320,1.09,1.5,4.550000000000001,35.93333333333333,15,0.6,0.13333333333333333,0.4666666666666667,0.02,0.33,4.0,351.25,3.0,0.25,46.0,4.1,Bronze,Lagos,1,0.0668571452226472,0,1,0.927267817001909
R00031,24,406.40999999999997,16.93375,0,330,1.23,1.6,11.87,35.708333333333336,24,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.03,0.51,8.0,55.0,2.25,0.125,30.0,4.1,Bronze,Lagos,0,0.276995816524852,0,0,0.02335169251228809
R00032,16,232.15,14.509375,24,317,1.01,1.1,5.69,40.25,16,0.125,0.625,0.5,0.02,0.35,4.0,99.0,3.75,0.0,35.0,5.0,Bronze,Nairobi,0,0.1423222710606449,0,0,0.06792286837696154
R00033,21,334.38,15.922857142857143,8,330,1.17,1.9,3.14,38.38095238095238,21,0.2857142857142857,0.14285714285714285,0.38095238095238093,0.01,0.45,5.0,44.2,1.8,0.0,25.0,4.6,Bronze,Cairo,1,0.3302459027051639,0,0,0.02843472270545895
R00034,19,287.15,15.11315789473684,12,301,1.16,2.1,4.83,30.842105263157894,19,0.3684210526315789,0.3684210526315789,0.47368421052631576,0.02,0.44,6.0,11.0,2.6666666666666665,0.0,45.0,3.1,Silver,Nairobi,0,0.0985965155626195,1,0,0.49145638338098774
R00035,10,164.77,16.477,18,303,1.15,1.3,6.140000000000001,35.1,10,0.3,0.1,0.1,0.04,0.23,7.0,37.57142857142857,1.7142857142857142,0.14285714285714285,36.0,4.7,Bronze,Nairobi,0,0.195310917231213,0,1,0.907039390398876
R00036,22,304.21,13.827727272727271,10,334,1.14,2.3,13.2,32.54545454545455,22,0.2727272727272727,0.4090909090909091,0.5454545454545454,0.04,0.46,3.0,29.0,2.3333333333333335,0.0,31.0,3.9,Bronze,Lagos,0,0.1779834154145498,0,0,0.09005745053707942
R00037,18,274.2,15.233333333333333,3,332,1.17,1.7,15.23,31.38888888888889,18,0.4444444444444444,0.2222222222222222,0.3888888888888889,0.06,0.38,1.0,46.0,5.0,0.0,39.0,3.9,Gold,Nairobi,0,0.2479956988957714,2,0,0.027815423084893466
R00038,17,218.78,12.869411764705882,4,307,1.06,1.5,6.67,31.58823529411765,17,0.35294117647058826,0.17647058823529413,0.35294117647058826,0.03,0.39,4.0,117.75,2.75,0.25,32.0,5.0,Silver,Nairobi,0,0.2483969974888393,1,0,0.013146141407458182
R00039,12,156.47,13.039166666666667,12,322,1.01,1.1,6.24,31.166666666666668,12,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.04,0.26,7.0,54.714285714285715,2.857142857142857,0.0,44.0,4.5,Bronze,Nairobi,0,0.5751170483042427,0,1,0.7369804846506159
R00040,13,168.1,12.930769230769231,12,298,1.07,1.4,2.49,31.76923076923077,13,0.38461538461538464,0.38461538461538464,0.5384615384615384,0.01,0.31,4.0,96.75,3.0,0.0,28.0,3.9,Silver,Cairo,0,0.2007305383539973,1,1,0.7327754129788137
R00041,15,226.89,15.126,33,294,1.1,1.6,3.3,25.666666666666668,15,0.4666666666666667,0.26666666666666666,0.6,0.01,0.36,3.0,35.0,3.3333333333333335,0.0,35.0,3.7,Bronze,Lagos,0,0.0949636897208835,0,1,0.8106217115009916
R00042,16,212.05,13.253125,25,326,1.16,1.7,5.96,34.0625,16,0.125,0.25,0.5625,0.03,0.34,3.0,19.666666666666668,4.0,0.0,18.0,3.9,Bronze,Lagos,0,0.3846252956347578,0,0,0.4676321833715656
R00043,18,291.7,16.205555555555556,0,324,1.12,1.7,6.22,38.0,18,0.3888888888888889,0.3888888888888889,0.6111111111111112,0.02,0.39,3.0,76.66666666666667,1.3333333333333333,0.0,31.0,3.7,Bronze,Nairobi,0,0.2649541755456416,0,0,0.2543646596523787
R00044,18,310.09000000000003,17.227222222222224,31,330,1.23,1.9,1.23,31.666666666666668,18,0.2777777777777778,0.1111111111111111,0.5555555555555556,0.0,0.38,6.0,73.83333333333333,3.1666666666666665,0.0,32.0,4.7,Bronze,Cairo,0,0.2283759236765485,0,1,0.5235192650710416
R00045,17,286.82,16.871764705882352,31,335,1.18,2.1,1.74,36.529411764705884,17,0.4117647058823529,0.17647058823529413,0.5294117647058824,0.01,0.36,9.0,61.22222222222222,2.888888888888889,0.0,26.0,4.8,Bronze,Nairobi,0,0.2140567164863131,0,0,0.502130458635177
