user_id,signup_date,loyalty_status,age,city,avg_rating_given,churn_prob,referred_by,was_referred
R00000,2025-01-24 00:00:00+00:00,Bronze,35.0,Nairobi,5.0,0.1424305968233785,R00001,1
R00001,2024-09-09 00:00:00+00:00,Bronze,35.0,Nairobi,4.7,0.6741608467591605,,0
R00002,2024-09-07 00:00:00+00:00,Bronze,47.0,Lagos,4.2,0.5103793329192093,,0
R00003,2025-03-17 00:00:00+00:00,Bronze,42.0,Nairobi,4.9,0.2447792787846616,,0
R00004,2024-08-20 00:00:00+00:00,Silver,41.0,Lagos,3.9,0.2699597126742522,R00002,1
R00005,2023-07-10 00:00:00+00:00,Bronze,40.0,Lagos,5.0,0.3274520895837147,,0
R00006,2023-08-17 00:00:00+00:00,Gold,44.0,Lagos,4.4,0.1204522174907009,R00000,1
R00007,2023-05-13 00:00:00+00:00,Bronze,27.0,Nairobi,4.9,0.2842457607909989,,0
R00008,2025-04-02 00:00:00+00:00,Bronze,30.0,Nairobi,5.0,0.0398786957413594,R00007,1
R00009,2023-07-01 00:00:00+00:00,Bronze,24.0,Lagos,4.6,0.2248721592852733,,0
R00010,2024-04-30 00:00:00+00:00,Bronze,41.0,Nairobi,4.3,0.189223538715668,,0
R00011,2025-04-15 00:00:00+00:00,Gold,37.0,Cairo,4.0,0.236666768267843,R00008,1
R00012,2023-10-28 00:00:00+00:00,Gold,38.0,Cairo,4.6,0.0571171871767164,,0
R00013,2023-07-02 00:00:00+00:00,Bronze,40.0,Cairo,4.2,0.1737535185298938,,0
R00014,2023-09-03 00:00:00+00:00,Bronze,45.0,Nairobi,5.0,0.2876183860002614,,0
R00015,2025-01-15 00:00:00+00:00,Gold,18.0,Nairobi,5.0,0.3570941783944128,R00014,1
R00016,2024-05-04 00:00:00+00:00,Gold,32.0,Nairobi,3.9,0.0490431232864207,R00013,1
R00017,2023-05-02 00:00:00+00:00,Gold,25.0,Lagos,4.2,0.425521365571281,,0
R00018,2025-04-19 00:00:00+00:00,Gold,51.0,Nairobi,4.4,0.1704961706951263,,0
R00019,2025-02-27 00:00:00+00:00,Bronze,34.0,Lagos,4.5,0.3327413627536465,,0
R00020,2023-07-19 00:00:00+00:00,Bronze,18.0,Cairo,4.9,0.2470390089311816,R00001,1
R00021,2024-08-14 00:00:00+00:00,Bronze,43.0,Cairo,4.9,0.2194934383631593,,0
R00022,2025-01-30 00:00:00+00:00,Bronze,45.0,Lagos,4.7,0.1454346823339429,,0
R00023,2024-09-15 00:00:00+00:00,Bronze,51.0,Lagos,4.6,0.2275797908870763,R00001,1
