session_id,rider_id,session_time,time_on_app,pages_visited,converted,city,loyalty_status
S000000,R08605,2025-04-27 18:57:06+02:05,79,4,1,Cairo,Bronze
S000001,R08823,2025-04-27 07:32:22+02:27,101,3,0,Nairobi,Silver
S000002,R05342,2025-04-27 23:17:25+02:05,12,1,0,Cairo,Bronze
S000003,R05057,2025-04-27 14:40:25+00:14,19,1,0,Lagos,Silver
S000004,R09614,2025-04-27 08:31:22+00:14,4,1,0,Lagos,Bronze
S000005,R01272,2025-04-27 07:35:46+02:27,102,1,0,Nairobi,Bronze
S000006,R00576,2025-04-27 15:45:38+02:05,12,2,0,Cairo,Silver
S000007,R01631,2025-04-27 19:01:44+02:27,138,5,0,Nairobi,Bronze
S000008,R08293,2025-04-27 18:24:09+02:27,14,2,1,Nairobi,Gold
S000009,R07120,2025-04-27 05:19:55+02:05,105,5,1,Cairo,Bronze
S000010,R04300,2025-04-27 05:37:44+00:14,24,2,0,Lagos,Silver
S000011,R04184,2025-04-27 13:24:15+02:05,22,2,0,Cairo,Bronze
S000012,R03982,2025-04-27 07:22:35+02:27,14,3,0,Nairobi,Bronze
S000013,R06443,2025-04-27 07:14:00+00:14,12,1,0,Lagos,Bronze
S000014,R05266,2025-04-27 23:59:41+02:05,4,3,0,Cairo,Bronze
S000015,R06233,2025-04-27 14:56:11+02:27,10,2,0,Nairobi,Silver
S000016,R07216,2025-04-27 15:42:47+02:05,4,3,0,Cairo,Bronze
S000017,R08451,2025-04-27 15:43:27+00:14,2,4,1,Lagos,Silver
S000018,R05262,2025-04-27 09:47:57+00:14,344,3,0,Lagos,Bronze
S000019,R08522,2025-04-27 13:21:47+02:27,11,2,0,Nairobi,Bronze
S000020,R02189,2025-04-27 21:25:56+02:05,43,4,0,Cairo,Bronze
S000021,R07498,2025-04-27 07:08:44+00:14,17,1,0,Lagos,Bronze
S000022,R01257,2025-04-27 17:19:54+00:14,12,1,0,Lagos,Bronze
S000023,R00790,2025-04-27 20:29:45+00:14,18,1,0,Lagos,Bronze
S000024,R09183,2025-04-27 08:02:04+02:27,1,1,0,Nairobi,Bronze
S000025,R00553,2025-04-27 17:34:18+02:05,46,5,0,Cairo,Bronze
S000026,R03069,2025-04-27 10:41:35+00:14,5,3,0,Lagos,Bronze
S000027,R00405,2025-04-27 12:34:28+00:14,94,4,0,Lagos,Bronze
S000028,R00346,2025-04-27 09:31:20+02:27,58,2,0,Nairobi,Bronze
S000029,R08906,2025-04-27 08:24:32+00:14,19,5,0,Lagos,Silver
S000030,R08348,2025-04-27 12:33:21+00:14,41,5,0,Lagos,Bronze
S000031,R05077,2025-04-27 16:01:20+00:14,88,1,0,Lagos,Gold
S000032,R02480,2025-04-27 15:29:43+02:05,7,1,0,Cairo,Bronze
S000033,R01514,2025-04-27 18:34:50+02:05,99,3,1,Cairo,Platinum
S000034,R02683,2025-04-27 06:40:45+02:05,1,2,0,Cairo,Platinum
S000035,R07003,2025-04-27 06:31:55+02:27,19,5,0,Nairobi,Silver
S000036,R08368,2025-04-27 07:01:51+02:05,2,5,1,Cairo,Silver
S000037,R01435,2025-04-27 09:47:50+02:05,6,1,0,Cairo,Bronze
S000038,R09310,2025-04-27 02:45:51+02:05,181,5,0,Cairo,Bronze
S000039,R08239,2025-04-27 06:25:48+02:05,4,1,0,Cairo,Bronze
S000040,R07021,2025-04-27 13:23:14+02:05,2,2,0,Cairo,Platinum
S000041,R07535,2025-04-27 17:40:22+00:14,75,2,1,Lagos,Gold
S000042,R01871,2025-04-27 01:51:53+02:27,54,2,0,Nairobi,Bronze
S000043,R09942,2025-04-27 00:51:33+02:27,107,1,0,Nairobi,Bronze
S000044,R05732,2025-04-27 17:16:16+02:27,1,3,0,Nairobi,Bronze
S000045,R00802,2025-04-27 06:26:57+02:05,16,5,0,Cairo,Bronze
S000046,R02595,2025-04-27 08:23:15+02:27,81,1,0,Nairobi,Bronze
S000047,R00619,2025-04-27 15:09:36+02:05,42,2,0,Cairo,Silver
S000048,R09524,2025-04-27 07:47:08+00:14,20,1,0,Lagos,Bronze
S000049,R06716,2025-04-27 07:59:57+02:27,125,3,0,Nairobi,Bronze
S000050,R04647,2025-04-27 05:46:45+02:27,4,1,0,Nairobi,Bronze
S000051,R00436,2025-04-27 09:50:20+02:27,20,1,0,Nairobi,Bronze
S000052,R02945,2025-04-27 06:57:03+02:05,32,1,0,Cairo,Bronze
S000053,R05041,2025-04-27 13:16:17+02:05,72,1,0,Cairo,Silver
S000054,R03323,2025-04-27 22:35:17+02:27,54,2,0,Nairobi,Bronze
S000055,R06466,2025-04-27 18:08:48+02:27,17,5,0,Nairobi,Bronze
S000056,R05472,2025-04-27 12:40:52+02:27,1181,1,0,Nairobi,Gold
S000057,R07926,2025-04-27 06:37:12+02:05,35,5,0,Cairo,Silver
S000058,R03455,2025-04-27 17:06:59+00:14,12,1,0,Lagos,Silver
S000059,R03313,2025-04-27 11:05:28+02:27,6,4,0,Nairobi,Silver
S000060,R05126,2025-04-27 06:43:25+00:14,54,1,1,Lagos,Bronze
S000061,R08190,2025-04-27 11:27:31+02:05,14,1,0,Cairo,Bronze
S000062,R05831,2025-04-27 14:42:28+00:14,63,4,0,Lagos,Bronze
S000063,R04976,2025-04-27 19:26:35+02:05,23,5,0,Cairo,Bronze
S000064,R09787,2025-04-27 06:28:46+02:05,17,1,1,Cairo,Gold
S000065,R09275,2025-04-27 10:59:28+02:05,0,3,0,Cairo,Silver
S000066,R09984,2025-04-27 17:31:45+02:27,365,5,0,Nairobi,Silver
S000067,R05838,2025-04-27 12:47:14+02:27,20,3,0,Nairobi,Silver
S000068,R06240,2025-04-27 09:57:17+02:05,18,5,0,Cairo,Silver
S000069,R06687,2025-04-27 07:38:25+00:14,110,5,0,Lagos,Bronze
S000070,R07442,2025-04-27 01:56:22+00:14,143,1,0,Lagos,Bronze
S000071,R09617,2025-04-27 18:59:38+02:27,7,1,0,Nairobi,Bronze
S000072,R09417,2025-04-27 15:18:46+00:14,111,2,1,Lagos,Gold
S000073,R00878,2025-04-27 03:39:59+00:14,112,4,1,Lagos,Gold
S000074,R08790,2025-04-27 07:57:52+00:14,35,3,0,Lagos,Silver
S000075,R04413,2025-04-27 17:52:09+00:14,42,4,0,Lagos,Silver
S000076,R07023,2025-04-27 05:49:18+00:14,12,1,0,Lagos,Silver
S000077,R01064,2025-04-27 14:13:00+02:05,5,2,0,Cairo,Bronze
S000078,R00218,2025-04-27 21:56:03+02:27,214,1,0,Nairobi,Bronze
S000079,R00629,2025-04-27 14:36:16+02:05,179,5,0,Cairo,Silver
S000080,R00123,2025-04-27 13:12:10+02:27,14,3,0,Nairobi,Gold
S000081,R01261,2025-04-27 08:36:02+02:27,91,2,0,Nairobi,Bronze
S000082,R05469,2025-04-27 12:15:51+00:14,266,1,1,Lagos,Gold
S000083,R00451,2025-04-27 06:17:53+02:27,62,1,0,Nairobi,Silver
S000084,R07747,2025-04-27 18:47:02+00:14,618,1,0,Lagos,Bronze
S000085,R01209,2025-04-27 06:40:46+00:14,6,1,0,Lagos,Gold
S000086,R04457,2025-04-27 01:26:11+00:14,36,1,0,Lagos,Bronze
S000087,R08791,2025-04-27 19:36:15+02:05,1,1,0,Cairo,Bronze
S000088,R09059,2025-04-27 19:37:52+02:05,62,1,0,Cairo,Silver
S000089,R05675,2025-04-27 12:03:05+02:05,10,4,0,Cairo,Silver
S000090,R09349,2025-04-27 11:39:51+02:27,138,3,1,Nairobi,Bronze
S000091,R07672,2025-04-27 13:40:18+00:14,25,5,0,Lagos,Bronze
S000092,R00091,2025-04-27 00:06:33+02:27,94,1,0,Nairobi,Silver
S000093,R05370,2025-04-27 06:31:07+02:27,38,1,0,Nairobi,Platinum
S000094,R01370,2025-04-27 16:42:41+02:27,35,4,0,Nairobi,Bronze
S000095,R06218,2025-04-27 10:05:55+00:14,3,2,0,Lagos,Bronze
S000096,R05342,2025-04-27 17:34:45+02:05,10,4,0,Cairo,Bronze
S000097,R02735,2025-04-27 07:36:53+00:14,6,5,0,Lagos,Gold
S000098,R02601,2025-04-27 22:41:01+02:05,9,5,0,Cairo,Platinum
S000099,R02178,2025-04-27 14:46:24+02:27,14,4,0,Nairobi,Bronze
S000100,R09156,2025-04-27 11:46:47+02:05,34,5,0,Cairo,Bronze
S000101,R08706,2025-04-27 06:17:12+02:27,82,2,0,Nairobi,Bronze
S000102,R02396,2025-04-27 07:20:09+02:05,4,1,0,Cairo,Bronze
